1;A-;अ-;A-;अ-;Not, without;0;0;Sanskrit;MW;;;
2;Abaddha;अबद्ध;Abaddha;अबद्ध;Unbound, Unrestrained, Free ;0;1;Sanskrit;MW;;;
3;Abādha;अबाधा;Abādhā;;Free from Restraints, Unconditional, Free from Pain;0;1;Sanskrit;MW;;*;also: Abaadha / Abaadhaa
4;Abādhita;अबाधित;Abādhita;अबाधित;Unobstructed;0;1;Sanskrit;MW;;;also: Abaadhita
5;Abahir;अबहिर्;Abahira;अबहिर्;not outside, in one's Heart;0;1;Sanskrit;MW;;;
6;Abāhya;अबाह्य;Abāhya;अबाह्य;Internal, not external;0;1;Sanskrit;MW;;;also: Abaahya
7;Abālendu ;अबालेन्दु;;;Full Moon;0;1;Sanskrit;MW;;;also: Abaalendu
8;;;Abbā;अब्बा;a Mother;0;1;Sanskrit;MW;;;also: Abbaa
9;Abbhra;अभ्र;Abbhra;अभ्र;Cloud , 'Water-bearer' ;0;1;Sanskrit;MW;;;
10;Abbindu;अब्बिन्दु;;;"a Tear; Drop of Water";0;1;Sanskrit;MW;;;
11;Abda                         ;अब्द;Abda;अब्द;Cloud, 'Water-Giver';0;1;Sanskrit;MW;;;
12;Abdal;;;;Saint known only by Allah, 'substitute' or 'changed one';0;1;Arabic;S;Onl;*;(Sufi)
13;Abdhi;अब्धि;;;"Ocean; Lake";0;1;Sanskrit;MW;;;
14;Abdhija;अब्धिज;Abdhija;अब्धिज;Ocean-Born;0;1;Sanskrit;MW;;;
15;Abdullah;عبداللہ;Abdullaha;;Servant of God;0;1;Arabic;OB;Onl;;
16;Abhāva;अभाव;;;Absence, Non-Existence;0;1;Sanskrit;OD;MW;*;also: Abhaava
17;Abhaya;अभय;Abhayā;;Fearless;0;1;Sanskrit;OD;MW;*****;also (f): Abhayaa
18;Abhayam;;Abhayam;;Fearlessness;0;1;Sanskrit;SD;;;
19;Abheda;अभेद;;;Closeness;0;1;Sanskrit;MW;;;
20;Abhedaka;अभेदक;;;Non-Dividing;0;1;Sanskrit;MW;;;
21;Abhedya;अभेद्य;Abhedya;अभेद्य;Indivisible;0;1;Sanskrit;MW;;;
22;Abhee;अभी;Abhee;अभी;Fearless;0;1;Sanskrit;MW;;;
23;Abhee;अभी;Abhee;अभी;to Approach, to Begin to, to Enter;0;1;Sanskrit;MW;;;
24;Abheek                            ;अभीक;Abheeka;अभीक;Fearless;0;1;Sanskrit;MW;;;
25;Abheek                            ;अभीक;Abheeka;अभीक;Lover;0;1;Sanskrit;S;MW;**;
26;Abheepsu;अभीप्सु;Abheepsu;अभीप्सु;"a tremendously intense Desire; the Inner Call of Life";0;1;Sanskrit;OD;MW;*;
27;Abheeru;अभीरु;;;Fearless;0;1;Sanskrit;S;MW;*;
28;Abheeruka;;;;Fearless;0;1;Sanskrit;MW;;;
29;Abheeshu;अभीषु;;;Ray of Light;0;1;Sanskrit;MW;;;
30;Abheeshta;अभीष्टा;Abheeshta;अभीष्टा;"Wished, Desired; a Lover";0;1;Sanskrit;MW;;;
31;Abheeshtama;अभीष्टतम;Abheeshtama;अभीष्टतम;Dearest Lover;0;1;Sanskrit;MW;;;
32;Abheeta;अभीत;Abheetā;;Fearless;0;1;Sanskrit;MW;;;also (f): Abheetaa
33;;;Abheeti;अभीति;Fearless;0;1;Sanskrit;S;MW;****;
34;Abhi-;अभि-;Abhi-;अभि-;Very, Towards;0;0;Sanskrit;MW;;;
35;Abhī;अभी;Abhī;अभी;Fearless;0;1;Sanskrit;MW;;;also: Abhee
36;Abhī;अभी;Abhī;अभी;to Approach, to Begin to, to Enter;0;1;Sanskrit;SD;;;also: Abhee
37;Abhibhava;अभिभव;Abhibhava;अभिभव;Powerful;0;1;Sanskrit;MW;;;
38;Abhibhavati;अभिभवति ;Abhibhavati;अभिभवति ;Transforms;0;1;Sanskrit;SD;;;
39;Abhibhūta;अभिभूत;Abhibhūta;अभिभूत;Surpassed;0;1;Sanskrit;MW;;;also: Abhibhoota
40;;;Abhibhūti;अभिभूति;superior Power;0;1;Sanskrit;MW;;;also: Abhibhooti
41;Abhicharana;अभिचरण;Abhicharana;अभिचरण;a Spell, Incantation;0;1;Sanskrit;MW;;;
42;Abhichint;;Abhichint;;Reflect on, Meditate on;0;1;Sanskrit;MW;;;
43;Abhichumb;;Abhichumba;;to Kiss;0;1;Sanskrit;MW;;;
44;Abhideena;अभिडीन;Abhideena;अभिडीन;Flying Towards;0;1;Sanskrit;MW;;;
45;Abhideep;अभिदीप्;Abhideepa;अभिदीप;make Brilliant, to Blaze;0;1;Sanskrit;MW;;;
46;Abhidhamma;;;;Buddhist Scripture, Pali cannon;0;1;Pali;PD;;;
47;Abhidharma;अभिधर्म;;;Buddhist Scripture;0;1;Sanskrit, Pali;OB;MW, PD;;
48;Abhidhi;;Abhidhi;;to Reflect on, Meditate on;0;1;Sanskrit;MW;;;
49;Abhidhyā;अभिध्या;Abhidhyā;अभिध्या;Wish, Desire;0;1;Sanskrit;MW;;;also: Abhidhyaa
50;Abhidhyai;;Abhidhyai;;to Meditate;0;1;Sanskrit;MW;;;
51;Abhidhyāna ;अभिध्यान;Abhidhyāna ;अभिध्यान;Meditation;0;1;Sanskrit;MW;;;also: Abhidhyaana
52;Abhidhyānam;;Abhidhyānam;;Meditative;0;1;Sanskrit;MW;;;also: Abhidhyaanam
53;Abhidi;;Abhidi;;to Radiate;0;1;Sanskrit;MW;;;
54;Abhidyu;अभिद्यु;Abhidyu;अभिद्यु;towards Heaven;0;1;Sanskrit;MW;;;
55;Abhigama;अभिगम;Abhigama;अभिगम;to Approach, to Follow;0;1;Sanskrit;MW;;;
56;Abhigamya;अभिगम्य;;;name of Shiva, easily Attainable ;0;1;Sanskrit;TS;;;
57;Abhigata;अभिगत;Abhigata;अभिगत;Approached;0;1;Sanskrit;MW;;;
58;Abhigeet;;Abhigeeta;अभिगीत;a Song, Praised by Song;0;1;Sanskrit;MW;;;
59;Abhigrah ;;Abhigrah;;to Receive;0;1;Sanskrit;MW;;;
60;Abhihāra;अभिहार;Abhihāra;अभिहार;Offering;0;1;Sanskrit;MW;;;also: Abhihaara
61;Abhihāsa;अभिहास;;;Joke;0;1;Sanskrit;MW;;;also: Abhihaasa
62;Abhijan;आभिजन;Abhijan;आभिजन;to claim as one's Birthright;0;1;Sanskrit;MW;;;
63;Abhijan;अभिजन;Abhijana;अभिजन;to be Born Again;0;1;Sanskrit;MW;;;
64;Abhijānāti;अभिजानाति;Abhijānāti;अभिजानाति;to become Aware;0;1;Sanskrit;SD;;;also: Abhijaanaati
65;Abhijāt;;Abhijāta;अभिजात;Noble, Aristocrat, well Born;0;1;Sanskrit;OD;MW;*;also: Abhijaata
66;;;Abhijāti;अभिजाति;Birth;0;1;Sanskrit;MW;;;also: Abhijaati
67;Abhijaya;अभिजय;Abhijaya;अभिजय;complete Victory;0;1;Sanskrit;MW;;;
68;Abhijit;अभिजित्;Abhijit;अभिजित्;Victorious;0;1;Sanskrit;MW;;;
69;;;Abhijiti;अभिजिति;Victory;0;1;Sanskrit;MW;;;
70;Abhijna;अभिज्ञान;Abhijnā;;Knowing, Understanding;0;1;Sanskrit;MW;;;
